Player Name,Score,Character,Vehicle,Glider,Tires
Mary,87559,Metal Mario,Streetle,Plane Glider,Slim
Naoto,87988,Villager,Streetle,Parafoil,Slim
chun,65400,Bowser,Splat Buggy,MKTV Parafoil,Slim
Naoto,122145,Wario,Streetle,Parafoil,Roller
やまだ,110625,Heavy Mii,Wild Wiggler,Parachute,Crimson Slim
ス,125307,Morton,Streetle,Super Glider,Slim
B!KZO,125798,Morton,W 25 Silver Arrow,Plane Glider,Slim
Cynda,90117,Heavy Mii Varia,Streetle,Super Glider,Roller
Cynda,90089,Heavy Mii Varia,Streetle,Super Glider,Roller
Luigi_Fan2,85336,Luigi,Standard Kart,Super Glider,Standard
Luigi_Fan2,85234,Luigi,Standard Kart,Super Glider,Standard
Cynda,89605,Heavy Mii Varia,Streetle,Super Glider,Roller
chun,59721,Bowser,Circuit Special,MKTV Parafoil,Slim
Cynda,67746,Heavy Mii Varia,Streetle,Super Glider,Roller
Luigi_Fan2,65133,Wario,Splat Buggy,Super Glider,Slim
Luigi_Fan2,64850,Wario,Splat Buggy,Super Glider,Slim
Snowdog,73610,Morton,Circuit Special,Super Glider,Leaf Tires
Snowdog,87899,Morton,Circuit Special,Super Glider,Leaf Tires
Snowdog,67667,Morton,Circuit Special,Super Glider,Leaf Tires
Cynda,92972,Heavy Mii Varia,Streetle,Super Glider,Roller
Cynda,92908,Heavy Mii Varia,Streetle,Super Glider,Roller
Luigi_Fan2,67201,Donkey Kong,Splat Buggy,Super Glider,Slim
Snowdog,86995,Morton,Circuit Special,Super Glider,Leaf Tires
Cynda,92849,Heavy Mii Varia,Streetle,Super Glider,Roller
Luigi_Fan2,87046,Luigi,Standard Kart,Super Glider,Standard
Cynda,92546,Heavy Mii Varia,Streetle,Super Glider,Roller
Luigi_Fan2,96646,Luigi,Standard Kart,Super Glider,Standard
Danny,94135,Morton,Splat Buggy,Super Glider,Slim
Cynda,92271,Heavy Mii Varia,Streetle,Super Glider,Roller
Cynda,65155,Heavy Mii Varia,Streetle,Super Glider,Roller
Luigi_Fan2,91944,Luigi,Standard Kart,Super Glider,Standard
Cynda,63688,Heavy Mii Varia,Streetle,Super Glider,Roller
Danny,112539,Dry Bowser,Streetle,Plane Glider,Off-Road
Cynda,63537,Heavy Mii Varia,Streetle,Super Glider,Roller
Joel,109883,Dry Bowser,Streetle,Super Glider,Standard
Cynda,81612,Heavy Mii Varia,Streetle,Super Glider,Roller
Snowdog,84193,Morton,Circuit Special,Super Glider,Leaf Tires
Luigi_Fan2,96796,Wario,Sneeker,Super Glider,Slim
Shaun,82417,Morton,Streetle,MKTV Parafoil,Slim
Joel,109747,Dry Bowser,Streetle,Super Glider,Standard
Shaun,83485,Morton,Streetle,Super Glider,Slim
Cole,89467,Morton,Splat Buggy,Parachute,Slim
Cole,89360,Morton,Splat Buggy,Parachute,Slim
ゆゆゆ,116207,Bowser,Sport Bike,Wario Wing,Slick
Cynda,78786,Heavy Mii Varia,Streetle,Super Glider,Roller
Cynda,78017,Heavy Mii Varia,Streetle,Super Glider,Roller
にこら,113604,Morton,Splat Buggy,Super Glider,Slim
Joel,113436,Morton,Splat Buggy,Plane Glider,Slim
Cynda,77537,Heavy Mii Varia,Streetle,Super Glider,Roller
Leo,121803,Wario,Streetle,Super Glider,Roller
Shaun,86986,Heavy Mii,Streetle,Super Glider,Roller
Mattew,105781,Morton,Blue Falcon,Cloud Glider,Azure Roller
Joel,109717,Dry Bowser,Streetle,Super Glider,Standard
Joel,109647,Dry Bowser,Streetle,Plane Glider,Standard
Shaun,81856,Heavy Mii,Splat Buggy,Super Glider,Slim
ちん,124988,Morton,Streetle,Plane Glider,Slim
K4I,124834,Morton,W 25 Silver Arrow,MKTV Parafoil,Slim
K4I,112060,Morton,W 25 Silver Arrow,Super Glider,Slim
K4I,123730,Morton,W 25 Silver Arrow,MKTV Parafoil,Slim
K4I,127493,Wario,Splat Buggy,Plane Glider,Slim
K4I,109582,Wario,Splat Buggy,Plane Glider,Slim
K4I,109220,Bowser,Splat Buggy,Cloud Glider,Slim
K4I,122769,Wario,Splat Buggy,Plane Glider,Slim
Issem,81306,Dry Bowser,Streetle,Super Glider,Leaf Tires
Shaun,86298,Heavy Mii,Streetle,Super Glider,Slim
Ethan,113117,Wario,Splat Buggy,Parachute,Metal
K4I,101673,Bowser,Splat Buggy,Super Glider,Slim
パステル,104993,Heavy Mii,Jet Bike,Super Glider,Slim
Mick,72536,Dry Bowser,Splat Buggy,Super Glider,Slim
Cole,110337,Morton,Splat Buggy,Super Glider,Slim
Cole,109055,Morton,Splat Buggy,Super Glider,Slim
さくやん,125110,Bowser,Circuit Special,Plane Glider,Slim
ブラク,72659,Morton,Circuit Special,Super Glider,Crimson Slim
Shaun,125014,Morton,Circuit Special,Super Glider,Slim
K4I,102701,Wario,Splat Buggy,Flower Glider,Slim
Shaun,124998,Morton,Circuit Special,Super Glider,Slim
Shaun,124399,Morton,Splat Buggy,Super Glider,Slim
Shaun,124441,Morton,Splat Buggy,Super Glider,Slim
Mick,72024,Dry Bowser,Splat Buggy,Super Glider,Slim
Shaun,124361,Morton,Splat Buggy,Super Glider,Slim
Shaun,124284,Morton,Splat Buggy,Super Glider,Slim
Mick,72019,Dry Bowser,Splat Buggy,Super Glider,Slim
Mick,71908,Dry Bowser,Splat Buggy,Super Glider,Slim
Danny,76074,Wario,Splat Buggy,Super Glider,Slim
Danny,87160,Wario,Splat Buggy,Super Glider,Slim
Issem,90291,Dry Bowser,Splat Buggy,Cloud Glider,Slim
Xander,112210,Wario,Landship,Super Glider,Slim
K4I,120278,Dry Bowser,Splat Buggy,Super Glider,Slim
Shaun,124214,Morton,Splat Buggy,Super Glider,Slim
Mon,125580,Bowser,Circuit Special,Plane Glider,Slim
Shaun,124114,Morton,Splat Buggy,Super Glider,Slim
Hobbie,89420,Roy,Splat Buggy,Super Glider,Off-Road
Mikkums,80649,Dry Bowser,Comet,Flower Glider,Off-Road
vxlocity,113467,Bowser,Streetle,Super Glider,Slim
K4I,122496,Dry Bowser,Splat Buggy,Super Glider,Slim
Shaun,124036,Morton,Splat Buggy,Super Glider,Slim
Hobbie,90672,Dry Bowser,Splat Buggy,Super Glider,Off-Road
Davi,77220,King Boo,Splat Buggy,Super Glider,Slim
Davi,92122,Morton,Streetle,Super Glider,Slim
Shaun,123966,Morton,Splat Buggy,Super Glider,Slim
Leo,106646,Wario,Streetle,Super Glider,Slim
